"district","longitude","latitude","gross_income","net_income","household_people","income_recipients","food_expenditure","clothing_expenditure","health_expenditure","transportation_expenditure"
"Ancon",-77.132092,-11.807917,32864,29288,4,2,7871.115234375,883.901550292969,2227.42138671875,1595
"Ate",-76.889576,-12.026773,33032.5,32988,4,2,7645.94873046875,658.268859863281,515,1353.31500244141
"Barranco",-77.019029,-12.14375,35588,33944,4,2,6144.18994140625,463,1081,1514
"Brena",-77.05067,-12.058504,36720,35930,3,2,7474.3466796875,450.082046508789,962.706146240234,2827.5
"Carabayllo",-77.022605,-11.872352,27753.1798245614,27169,4,2,7448.11376953125,600,655,1172
"Chaclacayo",-76.773461,-11.977834,34773,32898,4,2,8144.9443359375,760.407043457031,332,2393
"Chorrillos",-77.007764,-12.18765,33875,31993,4,2,8939.8251953125,819.19921875,759,2030
"Cieneguilla",-76.812033,-12.11769,35026,34121,3.5,2,6554.57153320312,653.462951660156,327,894.5
"Comas",-77.05425,-11.931642,30970.5,28830,4,2,7989.12670898438,657.637420654297,756.115264892578,1370
"El Agustino",-77.000509,-12.04821,35660,32746,4,2,9375.4775390625,639.637756347656,521,1179
"Independencia",-77.052437,-11.994171,34375.5,33116.5,4,2,9255.49853515625,598.912353515625,1222.5,1731
"Jesus Maria",-77.043529,-12.075029,72521,63936,3,2,7646.3740234375,708,1193.5,3360
"La Molina",-76.929487,-12.082804,103334,85373,4,2,12782.296875,1392.99340820312,1967.47082519531,6621.9638671875
"La Victoria",-77.017855,-12.073624,26743.5,26677,3,2,7466.83178710938,470.76545715332,485.5,1201
"Lima",-77.042793,-12.046374,34287,32320,3,2,8190.14111328125,718.636840820312,810,1928
"Lince",-77.031959,-12.083708,40218,40178,3,2,7789.09936523438,446.901489257812,1087.17977905273,2860
"Los Olivos",-77.076024,-11.959464,37117,34476.6430517155,4,2,8118.92456054688,807.036315917969,788,2116.04614257812
"Lurigancho",-76.917687,-12.006649,27349.5,26266,4,2,7109.42529296875,441.842376708984,314,929.630004882812
"Lurin",-76.884048,-12.252539,27059,25230,4,2,8939.634765625,400.228576660156,990,1087.50366210938
"Magdalena del Mar",-77.069999,-12.090435,55546,55370.5,3,2,8718.994140625,912.365264892578,1423,3548
"Miraflores",-77.031538,-12.111933,77416,74593,3,2,9691.931640625,1122.90942382812,1727,4808
"Pachacamac",-76.85399,-12.209471,29223,28176,4,2,5618.8828125,574.273254394531,627,1064
"Pucusana",-76.773382,-12.482609,42472,42472,5,2.5,8040.02563476562,1185.13037109375,881,1046.5
"Pueblo Libre",-77.065541,-12.078759,57364,52584,3,2,10923.9052734375,875.7744140625,1234,3052
"Puente Piedra",-77.079145,-11.863822,24538.5,24023,4,2,6529.32421875,569.856475830078,579.055358886719,808.194610595703
"Punta Hermosa",-76.813967,-12.310658,28186.5,27227,4.5,2,7331.734375,337.904479980469,306.5,675.5
"Rimac",-77.035971,-12.027461,34390,34139,4,2,8903.3154296875,700.321350097656,818,1699
"San Bartolo",-76.770878,-12.384381,28061.75,27213.75,3.5,1.5,8995.228515625,969.125396728516,755.5,709
"San Borja",-76.995102,-12.097285,70613.6770833333,65497.5,3,2,9953.03564453125,1194.23791503906,1194.615234375,5515.0185546875
"San Isidro",-77.032585,-12.097183,64681,59808,3,2,9073.7392578125,807.551513671875,1181,4951.84619140625
"San Juan de Lurigancho",-76.994014,-11.969031,31108,30502,4,2,8146.41455078125,596.997131347656,605,1335
"San Juan de Miraflores",-76.971839,-12.153022,30294,30266,4,2,8569.9765625,407.5,788,1683.5
"San Luis",-76.995957,-12.07557,24445,21516,4,2,7011.1845703125,1049.53149414062,901,2400
"San Martin de Porres",-77.096882,-11.981557,37554,36427,4,2,8559.685546875,833.641662597656,801,1699
"San Miguel",-77.093403,-12.07745,51073,49955,3,2,10004.734375,1065.9921875,1216,3813
"Santa Anita",-76.968625,-12.047925,24018.5,23712.5,3,2,7389.15014648438,553.498565673828,989,1755.84985351562
"Santa Rosa",-77.165764,-11.81061,34251.5,34251.5,4,2,8989.6572265625,1123.95709228516,1334,1274.28985595703
"Santiago de Surco",-76.991898,-12.141128,76571,71685,3,2,9269.8369140625,1312.51416015625,1831,4926
"Surquillo",-77.019012,-12.115745,57077.5,52736,3,2,8299.365234375,1241.76525878906,865,3176.19396972656
"Villa El Salvador",-76.94189,-12.215773,30343.5,29613,4,2,8650.64794921875,609.5,942.5,902.5
"Villa Maria del Triunfo",-76.944152,-12.163599,31359.5,30900,4,2,8416.3466796875,671.626434326172,491,1442.5
